Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,2,106,0.0,0.0,0.0,-62.71842527605206,0.0
RT,2,107,0.0,0.0,0.0,-56.870913401500985,0.0
RT,2,108,0.0,0.0,0.0,-57.02715741202168,0.0
RT,2,109,0.0,0.0480219496,0.0,-57.70588183045325,0.0
RT,2,110,0.0,0.0380086732,0.0,-57.70560949582264,0.0
RT,2,111,0.0,0.0496840435,0.0,-55.809430333895534,0.0
RT,2,112,0.0,0.0,0.0,0.4129566982924473,0.0
RT,2,113,0.0,0.0,0.0,5.820012101220044,0.0
RT,2,114,0.0,0.0,0.0,5.913666776032272,0.0
RT,2,115,0.050115563,0.0,0.0,-23.075981418923902,0.0
RT,2,116,0.0,0.0,0.0,5.6881160741315,0.0
RT,2,117,0.0,0.0,0.0,-14.529343253589929,0.0
RT,3,0,0.0,0.0,0.0,0.0,0.0
RT,3,1,0.0,0.0,0.0,3.0141481746863974,0.0
RT,3,2,0.0,0.0,0.0,1.9524914081695215,0.0
RT,3,3,0.0,0.00538212387,0.0,3.8926258081449703,0.0
RT,3,4,0.0,0.0,0.0,3.6975052757022695,0.0
RT,3,5,0.0,0.0,0.0,4.698610085476616,0.0
RT,3,6,0.0,0.0,0.0,4.68197798542235,0.0
RT,3,7,0.0,0.0157363537,0.0,2.6369019648340384,0.0
RT,3,8,0.0,0.0,0.0,2.635978300567899,0.0
RT,3,9,0.0,0.0,0.0,2.635003153375436,0.0
RT,3,10,0.0,0.0,0.0,4.576626037760178,0.0
RT,3,11,0.0,0.0310672381,0.0,4.41454600634728,0.0
RT,3,12,0.0,0.0,0.0,4.947159603688732,0.0
RT,3,13,0.0,0.0,0.0,4.333764155713425,0.0
RT,3,14,0.0,0.0170403969,0.0,3.095680668151914,0.0
RT,3,15,0.0,0.0,0.0,4.262843886435462,0.0
RT,3,16,0.0,0.0,0.0,2.2607850692897955,0.0
RT,3,17,0.0,0.0,0.0,3.1781560865832432,0.0
RT,3,18,0.0,0.0,0.0,2.973659470563348,0.0
RT,3,19,0.0,0.0,0.0,3.7478360532988404,0.0
RT,3,20,0.0,0.0,0.0,3.7412786947745076,0.0
RT,3,21,0.0,0.0,0.0,3.2287518487906937,0.0
RT,3,22,0.0,0.0,0.0,1.797315695769413,0.0
RT,3,23,0.0,0.0,0.0,-0.4803786092349185,0.0
RT,3,24,0.0,0.0620239435,0.0,2.224889302700632,0.0
RT,3,25,0.0,0.0380264752,0.0,1.5745539590928388,0.0
RT,3,26,0.0,0.0397698985,0.0,5.860951749898248,0.0
RT,3,27,0.0,0.0,0.0,6.229482468347641,0.0
RT,3,28,0.0,0.0,0.0,6.03975716653062,0.0
RT,3,29,0.0,0.0,0.0,0.11077765734734157,0.0
RT,3,30,0.0,0.0,0.0,5.677727900829979,0.0
RT,3,31,0.0,0.00229523076,0.0,5.1806689430069355,0.0
